close_time,available_capital,portfolio_value,realized_portfolio_value
2017-10-01,1000.0,1000.0,1000.0
2017-10-02,1000.0,1000.0,1000.0
2017-10-03,1000.0,1000.0,1000.0
2017-10-04,1000.0,1000.0,1000.0
2017-10-05,1000.0,1000.0,1000.0
2017-10-06,1000.0,1000.0,1000.0
2017-10-07,1000.0,1000.0,1000.0
2017-10-08,1000.0,1000.0,1000.0
2017-10-09,1000.0,1000.0,1000.0
2017-10-10,1000.0,1000.0,1000.0
2017-10-11,1000.0,1000.0,1000.0
2017-10-12,1000.0,1000.0,1000.0
2017-10-13,1000.0,1000.0,1000.0
2017-10-14,1000.0,1000.0,1000.0
2017-10-15,1000.0,1000.0,1000.0
2017-10-16,1000.0,1000.0,1000.0
2017-10-17,1000.0,1000.0,1000.0
2017-10-18,945.7979149131353,1000.0,999.9783191659652
2017-10-19,945.7979149131353,998.8193947966162,999.9783191659652
2017-10-20,937.7988946925501,997.8089517048153,997.7849476820104
2017-10-21,877.8495461005083,997.8089517048153,997.7609679425735
2017-10-22,817.9001975084665,997.8089517048153,997.7369882031367
2017-10-23,817.9001975084665,1002.0178698531103,997.7369882031367
2017-10-24,817.9001975084665,1001.8511918300147,997.7369882031367
2017-10-25,817.9001975084665,1007.8416005761962,997.7369882031367
2017-10-26,817.9001975084665,1007.6697064132508,997.7369882031367
2017-10-27,817.9001975084665,1010.4305198163634,997.7369882031367
2017-10-28,817.9001975084665,1010.4305198163634,997.7369882031367
2017-10-29,817.9001975084665,1010.4305198163634,997.7369882031367
2017-10-30,817.9001975084665,1010.8420285407655,997.7369882031367
2017-10-31,817.9001975084665,1004.8776557840641,997.7369882031367
2017-11-01,817.9001975084665,1010.3211299120786,997.7369882031367
2017-11-02,817.9001975084665,1021.6873072910207,997.7369882031367
2017-11-03,817.9001975084665,1018.129512428584,997.7369882031367
2017-11-04,817.9001975084665,1018.129512428584,997.7369882031367
2017-11-05,817.9001975084665,1018.129512428584,997.7369882031367
2017-11-06,817.9001975084665,1019.8537149076599,997.7369882031367
2017-11-07,817.9001975084665,1018.1503471814709,997.7369882031367
2017-11-08,817.9001975084665,1019.0150490393057,997.7369882031367
2017-11-09,817.9001975084665,1019.7443250033751,997.7369882031367
2017-11-10,817.9001975084665,1019.7443250033751,997.7369882031367
2017-11-11,817.9001975084665,1019.7443250033751,997.7369882031367
