pair,side,fee_rate,entry_time,exit_time,entry_price,exit_price,size,pnl,pnl%,fees,success,status,highest_price_seen,lowest_price_seen,drawdown,max_drawdown
tsla,long,0.0004,2017-10-18,2017-10-20,23.976667404174805,23.00666618347168,54.18040425282996,-2.169367461149983,-0.04002369018965482,0.020804064008661558,0,closed,23.976667404174805,23.00666618347168,0.970001220703125,0.970001220703125
tsla,short,0.0004,2017-10-20,2017-12-11,23.00666618347168,21.92733383178711,59.9860529894603,2.837057820787507,0.04727637269545758,0.025129694592814285,1,closed,23.00666618347168,19.950666427612305,1.9766674041748047,1.9766674041748047
tsla,short,0.0004,2017-10-20,2017-12-11,23.00666618347168,21.92733383178711,59.92536885260496,2.8341877468872716,0.04727637269545757,0.025104272453003368,1,closed,23.00666618347168,19.950666427612305,1.9766674041748047,1.9766674041748047
tsla,short,0.0004,2017-10-20,2017-12-11,23.00666618347168,21.92733383178711,59.92536885260496,2.8341877468872716,0.04727637269545757,0.025104272453003368,1,closed,23.00666618347168,19.950666427612305,1.9766674041748047,1.9766674041748047
tsla,long,0.0004,2017-12-11,2017-12-28,21.92733383178711,21.02400016784668,51.40825345209508,-2.0964314208167534,-0.04076374331995563,0.019724389956496797,0,closed,22.89666748046875,20.775999069213867,1.8726673126220703,2.120668411254883
tsla,short,0.0004,2017-12-28,2018-01-08,21.02400016784668,22.42733383178711,53.266715839856985,-3.532769382274517,-0.06629573869615703,0.0198930097019454,0,closed,22.42733383178711,20.75666618347168,1.6706676483154297,1.6706676483154297
tsla,long,0.0004,2018-01-08,2018-02-08,22.42733383178711,21.01533317565918,43.175128115936666,-2.699895055003121,-0.06250856024640127,0.016189658302882094,0,closed,23.62066650390625,21.01533317565918,2.6053333282470703,2.6053333282470703
tsla,short,0.0004,2018-02-08,2018-02-23,21.01533317565918,23.46999931335449,39.107931406333094,-4.550469761225758,-0.11631015524857612,0.013822253786623398,0,closed,23.46999931335449,20.69466781616211,2.7753314971923793,2.7753314971923793
tsla,long,0.0004,2018-02-23,2018-03-06,23.46999931335449,21.8799991607666,35.70897195250108,-2.4038854549910567,-0.06729188126741234,0.013321647536217378,0,closed,23.827999114990234,21.8799991607666,1.9479999542236328,1.9479999542236328
tsla,long,0.0004,2018-02-23,2018-03-06,23.46999931335449,21.8799991607666,35.682776582767474,-2.4021220139047523,-0.06729188126741235,0.01331187504869978,0,closed,23.827999114990234,21.8799991607666,1.9479999542236328,1.9479999542236328
tsla,long,0.0004,2018-02-23,2018-03-06,23.46999931335449,21.8799991607666,35.682776582767474,-2.4021220139047523,-0.06729188126741235,0.01331187504869978,0,closed,23.827999114990234,21.8799991607666,1.9479999542236328,1.9479999542236328
tsla,short,0.0004,2018-03-06,2018-03-13,21.8799991607666,22.78933334350586,35.33527035509788,-1.4538089468526687,-0.04112682338835616,0.01355234959751803,0,closed,23.03400039672852,21.81133270263672,0.9780006408691406,1.2226676940918004
tsla,long,0.0004,2018-03-13,2018-03-14,22.78933334350586,21.775333404541016,44.60942202501375,-1.9662289648881763,-0.044058909173944075,0.017056959644238458,0,closed,22.78933334350586,21.775333404541016,1.0139999389648438,1.0139999389648438
tsla,short,0.0004,2018-03-14,2018-05-07,21.775333404541016,20.184667587280277,41.184339175664235,3.02375076120527,0.07339054896592352,0.01768371733055947,1,closed,21.775333404541016,16.832000732421875,3.352666854858402,3.5493316650390625
